job_url,title,company,location,site,date_posted,scraped_at,applied_at,status,resume_path,cover_letter_path,notion_page_id,notes
https://www.glassdoor.ca/job-listing/j?jl=1010042406598,Full Stack Java Developer-React,Realign LLC,Toronto,glassdoor,2/23/2026,2026-02-23T15:11:24.864904,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_LLC_Full_Stack_Java_Developer-React_20260223_1511\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_LLC_Full_Stack_Java_Developer-React_20260223_1511\cover_letter.pdf,,
https://ca.indeed.com/viewjob?jk=1c6e45bf4a73701e,Full Stack Java Developer-React,Realign,"Toronto, ON, CA",indeed,2/23/2026,2026-02-23T15:11:24.864904,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_Full_Stack_Java_Developer-React_20260223_1512\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Realign_Full_Stack_Java_Developer-React_20260223_1512\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4363631845,"Full Stack Engineer, Link",Stripe,"Toronto, Ontario, Canada",linkedin,,2026-02-23T15:11:24.864904,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Stripe_Full_Stack_Engineer_Link_20260223_1512\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Stripe_Full_Stack_Engineer_Link_20260223_1512\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4375750567,"Full Stack Developer - Java, Springboot, Angular","Astra-North Infoteck Inc.  ~ Conquering today?s challenges, achieving tomorrow?s vision!","Toronto, Ontario, Canada",linkedin,,2026-02-23T15:11:24.864904,,Applied,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Astra-North_Infoteck_Inc___Conquering_todays_challenges_achi_20260223_1513\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Astra-North_Infoteck_Inc___Conquering_todays_challenges_achi_20260223_1513\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4374500803,Java Developer,Galent,"Calgary, Alberta, Canada",linkedin,,2026-02-23T15:11:24.864904,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Galent_Java_Developer_20260223_1514\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Galent_Java_Developer_20260223_1514\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4375717408,Java Software Engineer,Iris Software Inc.,"Montreal, Quebec, Canada",linkedin,,2026-02-23T15:11:24.864904,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Iris_Software_Inc_Java_Software_Engineer_20260223_1515\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Iris_Software_Inc_Java_Software_Engineer_20260223_1515\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4376811886,Software Engineer,Quantum World Technologies Inc.,"Toronto, Ontario, Canada",linkedin,,2026-02-23T15:11:24.864904,,LATE TO APPLY,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Quantum_World_Technologies_Inc_Software_Engineer_20260223_1516\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Quantum_World_Technologies_Inc_Software_Engineer_20260223_1516\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4374295958,Back End Developer,Soho Square Solutions,"Calgary, Alberta, Canada",linkedin,,2026-02-23T15:11:24.864904,,LATE TO APPLY,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Soho_Square_Solutions_Back_End_Developer_20260223_1516\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Soho_Square_Solutions_Back_End_Developer_20260223_1516\cover_letter.pdf,,
https://ca.indeed.com/viewjob?jk=9b89285b56172444,Data Scientist,Xplore Inc.,"Calgary, AB, CA",indeed,2/23/2026,2026-02-23T15:11:24.864904,,Applied,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Xplore_Inc_Data_Scientist_20260223_1517\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Xplore_Inc_Data_Scientist_20260223_1517\cover_letter.pdf,,
https://ca.indeed.com/viewjob?jk=bde4b1a4619ea1fb,Artificial intelligence engineer,Alert Driving,"Remote, CA",indeed,2/23/2026,2026-02-23T15:11:24.864904,,Applied,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Alert_Driving_Artificial_intelligence_engineer_20260223_1518\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Alert_Driving_Artificial_intelligence_engineer_20260223_1518\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4373486816,Data Scientist,Soho Square Solutions,"Toronto, Ontario, Canada",linkedin,,2026-02-23T15:11:24.864904,,Applied,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Soho_Square_Solutions_Data_Scientist_20260223_1519\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Soho_Square_Solutions_Data_Scientist_20260223_1519\cover_letter.pdf,,
